"filename", "language", "JavaScript", "HTML", "PHP", "XML", "JSON", "Markdown", "CSS", "SCSS", "Less", "YAML", "comment", "blank", "total"
"/media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/config/cache.php", "PHP", 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 34, 19, 111
"/media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/config/cors.php", "PHP", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 29, 3, 35
"/media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/config/database.php", "PHP", 0, 0, 81, 0, 0, 0, 0, 0, 0, 0, 45, 22, 148
"/media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/config/excel.php", "PHP", 0, 0, 92, 0, 0, 0, 0, 0, 0, 0, 211, 26, 329
"/media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/config/filesystems.php", "PHP", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 32, 13, 74
"/media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/config/fortify.php", "PHP", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 97, 26, 147
"/media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/config/hashing.php", "PHP", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 32, 9, 53
"/media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/config/jetstream.php", "PHP", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 44, 12, 66
"/media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/config/logging.php", "PHP", 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 24, 17, 106
"/media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/config/mail.php", "PHP", 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 47, 18, 118
"/media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/config/queue.php", "PHP", 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 32, 15, 94
"/media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/config/sanctum.php", "PHP", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 30, 9, 52
"/media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/config/services.php", "PHP", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 11, 7, 34
"/media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/config/session.php", "PHP", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 147, 33, 202
