Date : 2021-09-10 13:25:17
Directory : /media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp
Total : 199 files,  70156 codes, 14855 comments, 7335 blanks, all 92346 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| /media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/resources/lang/en/validation.php                                                | PHP        |        119 |         30 |          9 |        158 |
| /media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/resources/markdown/policy.md                                                    | Markdown   |          2 |          0 |          2 |          4 |
| /media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/resources/markdown/terms.md                                                     | Markdown   |          2 |          0 |          2 |          4 |
| /media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/resources/views/api/api-token-manager.blade.php                                 | PHP        |        144 |          0 |         26 |        170 |
| /media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/resources/views/api/index.blade.php                                             | PHP        |         12 |          0 |          2 |         14 |
| /media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/resources/views/auth/confirm-password.blade.php                                 | PHP        |         23 |          0 |          6 |         29 |
| /media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/resources/views/auth/forgot-password.blade.php                                  | PHP        |         28 |          0 |          7 |         35 |
| /media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/resources/views/auth/login.blade.php                                            | PHP        |         62 |          0 |         10 |         72 |
| /media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/resources/views/auth/register.blade.php                                         | PHP        |         50 |          0 |         11 |         61 |
| /media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/resources/views/auth/reset-password.blade.php                                   | PHP        |         29 |          0 |          8 |         37 |
| /media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/resources/views/auth/two-factor-challenge.blade.php                             | PHP        |         48 |          0 |         10 |         58 |
| /media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/resources/views/auth/verify-email.blade.php                                     | PHP        |         31 |          0 |          7 |         38 |
| /media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/resources/views/dashboard.blade.php                                             | PHP        |         24 |          0 |         17 |         41 |
| /media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/resources/views/errors/404.blade.php                                            | PHP        |        531 |         20 |         78 |        629 |
| /media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/resources/views/import-form.blade.php                                           | PHP        |         36 |          0 |          1 |         37 |
| /media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/resources/views/layouts/app.blade.php                                           | PHP        |         36 |          0 |         11 |         47 |
| /media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/resources/views/layouts/guest.blade.php                                         | PHP        |         20 |          0 |          5 |         25 |
| /media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/resources/views/livewire/home.blade.php                                         | PHP        |         76 |          0 |         19 |         95 |
| /media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/resources/views/livewire/profile-contact-information-form.blade.php             | PHP        |         45 |          0 |          9 |         54 |
| /media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/resources/views/livewire/sosmed.blade.php                                       | PHP        |         29 |          0 |          6 |         35 |
| /media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/resources/views/navigation-menu.blade.php                                       | PHP        |        185 |          0 |         33 |        218 |
| /media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/resources/views/policy.blade.php                                                | PHP        |         12 |          0 |          2 |         14 |
| /media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/resources/views/profile/delete-user-form.blade.php                              | PHP        |         43 |          0 |         10 |         53 |
| /media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/resources/views/profile/logout-other-browser-sessions-form.blade.php            | PHP        |         83 |          0 |         15 |         98 |
| /media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/resources/views/profile/profile-contact-information-form.blade.php              | PHP        |         24 |          0 |          7 |         31 |
| /media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/resources/views/profile/show.blade.php                                          | PHP        |         39 |          0 |         17 |         56 |
| /media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/resources/views/profile/sosmed.blade.php                                        | PHP        |         24 |          0 |          6 |         30 |
| /media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/resources/views/profile/two-factor-authentication-form.blade.php                | PHP        |         74 |          0 |         10 |         84 |
| /media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/resources/views/profile/update-password-form.blade.php                          | PHP        |         34 |          0 |          8 |         42 |
| /media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/resources/views/profile/update-profile-information-form.blade.php               | PHP        |         88 |          0 |         15 |        103 |
| /media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/resources/views/terms.blade.php                                                 | PHP        |         12 |          0 |          2 |         14 |
| /media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/resources/views/welcome.blade.php                                               | PHP        |        242 |          2 |         45 |        289 |
| /media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/routes/api.php                                                                  | PHP        |          6 |         10 |          4 |         20 |
| /media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/routes/channels.php                                                             | PHP        |          5 |         10 |          4 |         19 |
| /media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/routes/console.php                                                              | PHP        |          6 |         10 |          4 |         20 |
| /media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/routes/web.php                                                                  | PHP        |         15 |         10 |         13 |         38 |
| /media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/server.php                                                                      | PHP        |          8 |          9 |          5 |         22 |
| /media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/tailwind.config.js                                                              | JavaScript |         18 |          0 |          4 |         22 |
| /media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/tests/CreatesApplication.php                                                    | PHP        |         12 |          5 |          6 |         23 |
| /media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/tests/Feature/ApiTokenPermissionsTest.php                                       | PHP        |         41 |          0 |          9 |         50 |
| /media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/tests/Feature/AuthenticationTest.php                                            | PHP        |         34 |          0 |         12 |         46 |
| /media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/tests/Feature/BrowserSessionsTest.php                                           | PHP        |         18 |          0 |          6 |         24 |
| /media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/tests/Feature/CreateApiTokenTest.php                                            | PHP        |         36 |          0 |          8 |         44 |
| /media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/tests/Feature/DeleteAccountTest.php                                             | PHP        |         35 |          0 |         12 |         47 |
| /media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/tests/Feature/DeleteApiTokenTest.php                                            | PHP        |         33 |          0 |          9 |         42 |
| /media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/tests/Feature/EmailVerificationTest.php                                         | PHP        |         60 |          0 |         20 |         80 |
| /media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/tests/Feature/ExampleTest.php                                                   | PHP        |         12 |          5 |          5 |         22 |
| /media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/tests/Feature/PasswordConfirmationTest.php                                      | PHP        |         35 |          0 |         13 |         48 |
| /media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/tests/Feature/PasswordResetTest.php                                             | PHP        |         69 |          0 |         26 |         95 |
| /media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/tests/Feature/ProfileInformationTest.php                                        | PHP        |         27 |          0 |         10 |         37 |
| /media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/tests/Feature/RegistrationTest.php                                              | PHP        |         42 |          0 |         13 |         55 |
| /media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/tests/Feature/TwoFactorAuthenticationSettingsTest.php                           | PHP        |         43 |          0 |         21 |         64 |
| /media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/tests/Feature/UpdatePasswordTest.php                                            | PHP        |         50 |          0 |         13 |         63 |
| /media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/tests/TestCase.php                                                              | PHP        |          7 |          0 |          4 |         11 |
| /media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/tests/Unit/ExampleTest.php                                                      | PHP        |         10 |          5 |          4 |         19 |
| /media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/vendor/facade/ignition/resources/compiled/ignition.js                           | JavaScript |          5 |         27 |          0 |         32 |
| /media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/vendor/facade/ignition/resources/compiled/index.html                            | HTML       |         12 |          0 |          1 |         13 |
| /media/DATA/DOWNLOADS/laravel/KP_POLNEP/kp/webpack.mix.js                                                                  | JavaScript |          9 |         10 |          4 |         23 |
| Total                                                                                                                      |            |     70,156 |     14,855 |      7,335 |     92,346 |
+----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
